,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
1,1,0:00,period_start,NA,Period Start,NA,NA,NA,NA,NA,NA,0,0,0
2,1,0:00,faceoff,San Jose Sharks,Joe Thornton faceoff won against Sidney Crosby,Joe Thornton,Sidney Crosby,NA,0,0,NA,0,0,0
3,1,0:12,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,0,0,0
4,1,0:12,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Thornton,Sidney Crosby,Joe Thornton,NA,69,22,NA,0,0,0
5,1,0:24,hit,Pittsburgh Penguins,Patric Hornqvist hit Joe Pavelski,Patric Hornqvist,Joe Pavelski,NA,41,-40,NA,0,0,0
6,1,0:33,giveaway,Pittsburgh Penguins,Giveaway by Phil Kessel,Phil Kessel,NA,NA,16,40,NA,0,0,0
7,1,0:59,shot,Pittsburgh Penguins,Olli Maatta Slap Shot saved by Martin Jones,Olli Maatta,NA,slap_shot,34,-31,NA,0,0,1
8,1,1:49,hit,San Jose Sharks,Dainius Zubrus hit Chris Kunitz,Dainius Zubrus,Chris Kunitz,NA,75,40,NA,0,0,0
9,1,1:54,hit,San Jose Sharks,Brenden Dillon hit Bryan Rust,Brenden Dillon,Bryan Rust,NA,76,39,NA,0,0,0
10,1,2:00,hit,Pittsburgh Penguins,Evgeni Malkin hit Brenden Dillon,Evgeni Malkin,Brenden Dillon,NA,97,21,NA,0,0,0
11,1,2:02,hit,Pittsburgh Penguins,Tom Kuhnhackl hit Roman Polak,Tom Kuhnhackl,Roman Polak,NA,39,41,NA,0,0,0
12,1,2:25,hit,Pittsburgh Penguins,Eric Fehr hit Tommy Wingels,Eric Fehr,Tommy Wingels,NA,50,41,NA,0,0,0
13,1,2:29,giveaway,San Jose Sharks,Giveaway by Tommy Wingels,Tommy Wingels,NA,NA,25,39,NA,0,0,0
14,1,2:44,hit,San Jose Sharks,Joonas Donskoi hit Brian Dumoulin,Joonas Donskoi,Brian Dumoulin,NA,97,-7,NA,0,0,0
15,1,2:47,giveaway,Pittsburgh Penguins,Giveaway by Brian Dumoulin,Brian Dumoulin,NA,NA,97,24,NA,0,0,0
16,1,2:59,hit,Pittsburgh Penguins,Patric Hornqvist hit Marc-Edouard Vlasic,Patric Hornqvist,Marc-Edouard Vlasic,NA,91,-37,NA,0,0,0
17,1,3:16,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,0,0,0
18,1,3:16,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Logan Couture,Nick Bonino,Logan Couture,NA,69,22,NA,0,0,0
19,1,3:42,blocked_shot,Pittsburgh Penguins,Nick Bonino blocked shot from Patrick Marleau,Patrick Marleau,Nick Bonino,NA,55,-8,NA,0,0,1
20,1,3:43,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,0,0,0
21,1,3:43,faceoff,Pittsburgh Penguins,Matt Cullen faceoff won against Chris Tierney,Matt Cullen,Chris Tierney,NA,69,-22,NA,0,0,0
22,1,3:59,hit,Pittsburgh Penguins,Justin Schultz hit Matt Nieto,Justin Schultz,Matt Nieto,NA,20,40,NA,0,0,0
23,1,4:26,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,0,0,0
24,1,4:26,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Pavelski,Sidney Crosby,Joe Pavelski,NA,69,-22,NA,0,0,0
